id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,price,color,pattern,size,material
WPJ-002-S,Women Neon Colors Printed Lounge Wear,Women Neon Colors Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Neon+Colors+Printed+Lounge+Wear?id=1,https://www.adoreaboo.com/aalam/stock/item/1/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Multi Color,Stripes,S,Cotton
WPJ-002-M,Women Neon Colors Printed Lounge Wear,Women Neon Colors Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Neon+Colors+Printed+Lounge+Wear?id=2,https://www.adoreaboo.com/aalam/stock/item/2/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Multi Color,Stripes,M,Cotton
WPJ-002-L,Women Neon Colors Printed Lounge Wear,Women Neon Colors Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Neon+Colors+Printed+Lounge+Wear?id=3,https://www.adoreaboo.com/aalam/stock/item/3/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Multi Color,Stripes,L,Cotton
WPJ-002-XL,Women Neon Colors Printed Lounge Wear,Women Neon Colors Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Neon+Colors+Printed+Lounge+Wear?id=4,https://www.adoreaboo.com/aalam/stock/item/4/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Multi Color,Stripes,XL,Cotton
WPJ-005-S,Women Striped Printed Lounge Wear,Women Striped Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Striped+Printed+Lounge+Wear?id=5,https://www.adoreaboo.com/aalam/stock/item/5/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Half White,Stripes,S,Cotton
WPJ-005-M,Women Striped Printed Lounge Wear,Women Striped Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Striped+Printed+Lounge+Wear?id=6,https://www.adoreaboo.com/aalam/stock/item/6/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Half White,Stripes,M,Cotton
WPJ-005-L,Women Striped Printed Lounge Wear,Women Striped Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Striped+Printed+Lounge+Wear?id=7,https://www.adoreaboo.com/aalam/stock/item/7/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Half White,Stripes,L,Cotton
WPJ-005-XL,Women Striped Printed Lounge Wear,Women Striped Printed Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Striped+Printed+Lounge+Wear?id=8,https://www.adoreaboo.com/aalam/stock/item/8/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Half White,Stripes,XL,Cotton
WPJ-007-S,Women Tie Dye Printed Green & Cerulean Lounge Wear,Women Tie Dye Printed Green & Cerulean Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Tie+Dye+Printed+Green+%26+Cerulean+Lounge+Wear?id=9,https://www.adoreaboo.com/aalam/stock/item/9/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Multi Color,Tie & Dye,S,Cotton
WPJ-007-M,Women Tie Dye Printed Green & Cerulean Lounge Wear,Women Tie Dye Printed Green & Cerulean Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Tie+Dye+Printed+Green+%26+Cerulean+Lounge+Wear?id=10,https://www.adoreaboo.com/aalam/stock/item/10/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Multi Color,Tie & Dye,M,Cotton
WPJ-007-L,Women Tie Dye Printed Green & Cerulean Lounge Wear,Women Tie Dye Printed Green & Cerulean Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Tie+Dye+Printed+Green+%26+Cerulean+Lounge+Wear?id=11,https://www.adoreaboo.com/aalam/stock/item/11/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Multi Color,Tie & Dye,L,Cotton
WPJ-007-XL,Women Tie Dye Printed Green & Cerulean Lounge Wear,Women Tie Dye Printed Green & Cerulean Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Tie+Dye+Printed+Green+%26+Cerulean+Lounge+Wear?id=12,https://www.adoreaboo.com/aalam/stock/item/12/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Multi Color,Tie & Dye,XL,Cotton
WPJ-006-S,Women Colorful Flower Printed White Lounge Wear,Women Colorful Flower Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Colorful+Flower+Printed+White+Lounge+Wear?id=13,https://www.adoreaboo.com/aalam/stock/item/13/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Half White,Floral,S,Cotton
WPJ-006-M,Women Colorful Flower Printed White Lounge Wear,Women Colorful Flower Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Colorful+Flower+Printed+White+Lounge+Wear?id=14,https://www.adoreaboo.com/aalam/stock/item/14/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Half White,Floral,M,Cotton
WPJ-006-L,Women Colorful Flower Printed White Lounge Wear,Women Colorful Flower Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Colorful+Flower+Printed+White+Lounge+Wear?id=15,https://www.adoreaboo.com/aalam/stock/item/15/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Half White,Floral,L,Cotton
WPJ-006-XL,Women Colorful Flower Printed White Lounge Wear,Women Colorful Flower Printed White Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Colorful+Flower+Printed+White+Lounge+Wear?id=16,https://www.adoreaboo.com/aalam/stock/item/16/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Half White,Floral,XL,Cotton
WPJ-003-S,Women Flower Printed Green Lounge Wear,Women Flower Printed Green Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Flower+Printed+Green+Lounge+Wear?id=17,https://www.adoreaboo.com/aalam/stock/item/17/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,850.0 INR,Grey,Floral,S,Cotton
