id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,sale price,price
2-KJB-03-201 -1,Magical Unicorn - 0-3m -1-2-Pack Organic Cotton Knot Jabla,Magical Unicorn - 0-3m -1-2-Pack Organic Cotton Knot Jabla,out of stock,new,https://www.beelittle.in/store/item/Magical+Unicorn+-+0-3m+-1?id=1,https://www.beelittle.in/aalam/stock/item/1/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,349.0 INR
2-KJB-03-202 -1,Mustard Puppy - 0-3m -1-2-Pack Organic Cotton Knot Jabla,Mustard Puppy - 0-3m -1-2-Pack Organic Cotton Knot Jabla,out of stock,new,https://www.beelittle.in/store/item/Mustard+Puppy+-+0-3m+-1?id=2,https://www.beelittle.in/aalam/stock/item/2/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,279.2 INR,349.0 INR
2-KJB-03-203 -1,Notty Dotty - 0-3m -1-2-Pack Organic Cotton Knot Jabla,Notty Dotty - 0-3m -1-2-Pack Organic Cotton Knot Jabla,out of stock,new,https://www.beelittle.in/store/item/Notty+Dotty+-+0-3m+-1?id=3,https://www.beelittle.in/aalam/stock/item/3/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,349.0 INR
2-MS-00-201,"Ira the Elephant – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 2 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep","Ira the Elephant – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 2 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep",in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant+%E2%80%93+Organic+Muslin+Cotton+Baby+Swaddle+Blanket?id=4,https://www.beelittle.in/aalam/stock/item/4/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,1298.0 INR
2-MS-00-203,"Magic is Real – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 2 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep","Magic is Real – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 2 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep",in stock,new,https://www.beelittle.in/store/item/Magic+is+Real+%E2%80%93+Organic+Muslin+Cotton+Baby+Swaddle+Blanket?id=5,https://www.beelittle.in/aalam/stock/item/5/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,1298.0 INR
1-MS-00-201,"Ira the Elephant – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep","Ira the Elephant – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep",in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant+%E2%80%93+Organic+Muslin+Cotton+Baby+Swaddle+Blanket?id=6,https://www.beelittle.in/aalam/stock/item/6/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
1-MS-00-202,"Zigzag – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep","Zigzag – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep",in stock,new,https://www.beelittle.in/store/item/Zigzag+%E2%80%93+Organic+Muslin+Cotton+Baby+Swaddle+Blanket?id=7,https://www.beelittle.in/aalam/stock/item/7/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
1-MS-00-203,"Magic is Real – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep","Magic is Real – Organic Muslin Cotton Baby Swaddle Blanket-Pack of 1 – Lightweight & Breathable Newborn Swaddle for Gentle, Safe & Cozy Sleep",in stock,new,https://www.beelittle.in/store/item/Magic+is+Real+%E2%80%93+Organic+Muslin+Cotton+Baby+Swaddle+Blanket?id=8,https://www.beelittle.in/aalam/stock/item/8/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
1-MB-012-201,Ira the Elephant-Reversible Muslin Blanket,Ira the Elephant-Reversible Muslin Blanket,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=9,https://www.beelittle.in/aalam/stock/item/9/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,1750.0 INR
1-MB-012-203,Magic is Real-Reversible Muslin Blanket,Magic is Real-Reversible Muslin Blanket,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=10,https://www.beelittle.in/aalam/stock/item/10/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,1750.0 INR
1-MHT-06-201,Ira the Elephant-Muslin Hood Towel,Ira the Elephant-Muslin Hood Towel,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=11,https://www.beelittle.in/aalam/stock/item/11/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,749.0 INR
1-MHT-06-202,Zigzag-Muslin Hood Towel,Zigzag-Muslin Hood Towel,in stock,new,https://www.beelittle.in/store/item/Zigzag?id=12,https://www.beelittle.in/aalam/stock/item/12/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,749.0 INR
1-MHT-06-203,Magic is Real-Muslin Hood Towel,Magic is Real-Muslin Hood Towel,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=13,https://www.beelittle.in/aalam/stock/item/13/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,749.0 INR
1-LMT-06-201,Ira the Elephant-Large Muslin Towel,Ira the Elephant-Large Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=14,https://www.beelittle.in/aalam/stock/item/14/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,399.0 INR
1-LMT-06-202,Zigzag-Large Muslin Towel,Zigzag-Large Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Zigzag?id=15,https://www.beelittle.in/aalam/stock/item/15/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,399.0 INR
1-LMT-06-203,Magic is Real-Large Muslin Towel,Magic is Real-Large Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=16,https://www.beelittle.in/aalam/stock/item/16/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,399.0 INR
2-SMT-00-201,Ira the Elephant-2-Pack Small Muslin Towel,Ira the Elephant-2-Pack Small Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Ira+the+Elephant?id=17,https://www.beelittle.in/aalam/stock/item/17/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
2-SMT-00-203,Magic is Real-2-Pack Small Muslin Towel,Magic is Real-2-Pack Small Muslin Towel,in stock,new,https://www.beelittle.in/store/item/Magic+is+Real?id=18,https://www.beelittle.in/aalam/stock/item/18/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
