ID,ITEM NAME,ITEM TYPE,ITEM CODE,SALE PRICE,SALE DISCOUNT RATE,SALE DISCOUNT PRICE,SALE DISCOUNT MODE,CURRENT STOCK,IS PUBLIC,PROPERTY:Colour,PROPERTY:Fabric,PROPERTY:Feeding Maxi,PROPERTY:Neck,PROPERTY:Size,PROPERTY:Skirt Length,PROPERTY:Sleeve Type,PROPERTY:Total Length,PROPERTY:__category
"1","Alai","Ready to Wear Blouses","ALAIWINEX","690.00","25.00","172.50","rate","34.0","True","Grape",,,,"XS",,,,"Sale Products"
"2","Alai","Ready to Wear Blouses","ALAIWINES","690.00","25.00","172.50","rate","","True","Grape",,,,"S",,,,"Sale Products"
"3","Alai","Ready to Wear Blouses","ALAIWINEM","690.00","25.00","172.50","rate","33.0","True","Grape",,,,"M",,,,"Sale Products"
"4","Alai","Ready to Wear Blouses","ALAIWINEL","690.00","25.00","172.50","rate","","True","Grape",,,,"L",,,,"Sale Products"
"5","Alai","Ready to Wear Blouses","ALAIREDXL","690.00","25.00","172.50","rate","","True","Red",,,,"XL",,,,"Sale Products"
"6","Alai","Ready to Wear Blouses","ALAIWINEXL","690.00","25.00","172.50","rate","15.0","True","Grape",,,,"XL",,,,"Sale Products"
"7","Alai","Ready to Wear Blouses","ALAIREDX","690.00","25.00","172.50","rate","64.0","True","Red",,,,"XS",,,,"Sale Products"
"8","Alai","Ready to Wear Blouses","ALAIREDS","690.00","25.00","172.50","rate","","True","Red",,,,"S",,,,"Sale Products"
"9","Alai","Ready to Wear Blouses","ALAIREDL","690.00","25.00","172.50","rate","","True","Red",,,,"L",,,,"Sale Products"
"10","Alai","Ready to Wear Blouses","ALAIREDM","690.00","25.00","172.50","rate","","True","Red",,,,"M",,,,"Sale Products"
"12","Alai","Ready to Wear Blouses","ALAIPINEX","690.00","25.00","172.50","rate","105.0","True","Pine",,,,"XS",,,,"Sale Products"
"13","Alai","Ready to Wear Blouses","ALAIPINEXL","690.00","25.00","172.50","rate","","True","Pine",,,,"XL",,,,"Sale Products"
"14","Alai","Ready to Wear Blouses","ALAIPINEM","690.00","25.00","172.50","rate","","True","Pine",,,,"M",,,,"Sale Products"
"15","Alai","Ready to Wear Blouses","ALAIPINES","690.00","25.00","172.50","rate","","True","Pine",,,,"S",,,,"Sale Products"
"16","Alai","Ready to Wear Blouses","ALAIPINEL","690.00","25.00","172.50","rate","","True","Pine",,,,"L",,,,"Sale Products"
"17","Alai","Ready to Wear Blouses","ALAIPINATGOLDXL","690.00","25.00","172.50","rate","","True","Antique Gold",,,,"XL",,,,"Sale Products"
"18","Alai","Ready to Wear Blouses","ALAIPINATGOLDX","690.00","25.00","172.50","rate","25.0","True","Antique Gold",,,,"XS",,,,"Sale Products"
"19","Alai","Ready to Wear Blouses","ALAIPINATGOLDS","690.00","25.00","172.50","rate","","True","Antique Gold",,,,"S",,,,"Sale Products"
"20","Alai","Ready to Wear Blouses","ALAIPINATGOLDM","690.00","25.00","172.50","rate","","True","Antique Gold",,,,"M",,,,"Sale Products"
"21","Alai","Ready to Wear Blouses","ALAIPINATGOLDL","690.00","25.00","172.50","rate","","True","Antique Gold",,,,"L",,,,"Sale Products"
"22","Alai","Ready to Wear Blouses","ALAIDENIMXL","690.00","25.00","172.50","rate","","True","Denim",,,,"XL",,,,"Sale Products"
"23","Alai","Ready to Wear Blouses","ALAIDENIMX","690.00","25.00","172.50","rate","42.0","True","Denim",,,,"XS",,,,"Sale Products"
"24","Alai","Ready to Wear Blouses","ALAIDENIMS","690.00","25.00","172.50","rate","","True","Denim",,,,"S",,,,"Sale Products"
"25","Alai","Ready to Wear Blouses","ALAIDENIMM","690.00","25.00","172.50","rate","","True","Denim",,,,"M",,,,"Sale Products"
"26","Alai","Ready to Wear Blouses","ALAIDENIML","690.00","25.00","172.50","rate","","True","Denim",,,,"L",,,,"Sale Products"
"27","Alai","Ready to Wear Blouses","ALAIBOUGXL","690.00","25.00","172.50","rate","","True","Bougainvillea",,,,"XL",,,,"Sale Products"
"28","Alai","Ready to Wear Blouses","ALAIBOUGX","690.00","25.00","172.50","rate","83.0","True","Bougainvillea",,,,"XS",,,,"Sale Products"
"29","Alai","Ready to Wear Blouses","ALAIBOUGL","690.00","25.00","172.50","rate","74.0","True","Bougainvillea",,,,"L",,,,"Sale Products"
"30","Alai","Ready to Wear Blouses","ALAIBOUGS","690.00","25.00","172.50","rate","178.0","True","Bougainvillea",,,,"S",,,,"Sale Products"
"31","Alai","Ready to Wear Blouses","ALAIBOUGM","690.00","25.00","172.50","rate","102.0","True","Bougainvillea",,,,"M",,,,"Sale Products"
"35","Antique Gold","Saree Contours","ATGOLDX02","1190.00","24.99","297.38","rate","201.0","True","Antique Gold",,,,"Skinny","Mini",,,"Saree Contours"
"37","Antique Gold","Saree Contours","ATGOLDX03","1190.00","24.99","297.38","rate","195.0","True","Antique Gold",,,,"Skinny","Maxi",,,"clearout,Saree Contours"
"38","Antique Gold","Saree Contours","ATGOLDX01","1190.00","24.99","297.38","rate","137.0","True","Antique Gold",,,,"Skinny","Micro",,,"Saree Contours"
"39","Antique Gold","Saree Contours","ATGOLDS03","1190.00","24.99","297.38","rate","22.0","True","Antique Gold",,,,"Skubby","Maxi",,,"Saree Contours"
"40","Antique Gold","Saree Contours","ATGOLDS02","1190.00","24.99","297.38","rate","","True","Antique Gold",,,,"Skubby","Mini",,,"Saree Contours"
"41","Antique Gold","Saree Contours","ATGOLDS01","1190.00","24.99","297.38","rate","78.0","True","Antique Gold",,,,"Skubby","Micro",,,"Saree Contours"
"42","Antique Gold","Saree Contours","ATGOLDM03","1190.00","24.99","297.38","rate","","True","Antique Gold",,,,"Plumpy","Maxi",,,"clearout,Saree Contours"
"43","Antique Gold","Saree Contours","ATGOLDM02","1190.00","24.99","297.38","rate","29.0","True","Antique Gold",,,,"Plumpy","Mini",,,"Saree Contours"
"44","Antique Gold","Saree Contours","ATGOLDM01","1190.00","24.99","297.38","rate","237.0","True","Antique Gold",,,,"Plumpy","Micro",,,"clearout,Saree Contours"
"45","Antique Gold","Saree Contours","ATGOLDL03","1190.00","24.99","297.38","rate","","True","Antique Gold",,,,"Chunky","Maxi",,,"Saree Contours"
"46","Antique Gold","Saree Contours","ATGOLDL02","1190.00","24.99","297.38","rate","","True","Antique Gold",,,,"Chunky","Mini",,,"Saree Contours"
"47","Antique Gold","Saree Contours","ATGOLDL01","1190.00","24.99","297.38","rate","21.0","True","Antique Gold",,,,"Chunky","Micro",,,"Saree Contours"
"59","Bougainvillea Pink","Saree Contours","PGBOUG","1190.00","25.00","297.50","rate","13.0","True","Bougainvillea",,,,"Chunky","Mini",,,"Saree Contours"
"61","Bougainvillea Pink","Saree Contours","BOUGX03","1190.00","25.00","297.50","rate","279.0","True","Bougainvillea",,,,"Skinny","Maxi",,,"Saree Contours"
"62","Bougainvillea Pink","Saree Contours","BOUGX02","1190.00","25.00","297.50","rate","272.0","True","Bougainvillea",,,,"Skinny","Mini",,,"Saree Contours"
"63","Bougainvillea Pink","Saree Contours","BOUGX01","1190.00","25.00","297.50","rate","142.0","True","Bougainvillea",,,,"Skinny","Micro",,,"Saree Contours"
"64","Bougainvillea Pink","Saree Contours","BOUGS03","1190.00","25.00","297.50","rate","17.0","True","Bougainvillea",,,,"Skubby","Maxi",,,"Saree Contours"
"65","Bougainvillea Pink","Saree Contours","BOUGS02","1190.00","25.00","297.50","rate","36.0","True","Bougainvillea",,,,"Skubby","Mini",,,"Saree Contours"
"66","Bougainvillea Pink","Saree Contours","BOUGS01","1190.00","25.00","297.50","rate","92.0","True","Bougainvillea",,,,"Skubby","Micro",,,"Saree Contours"
"67","Bougainvillea Pink","Saree Contours","BOUGM03","1190.00","25.00","297.50","rate","73.0","True","Bougainvillea",,,,"Plumpy","Maxi",,,"Saree Contours"
"68","Bougainvillea Pink","Saree Contours","BOUGM02","1190.00","25.00","297.50","rate","202.0","True","Bougainvillea",,,,"Plumpy","Mini",,,"Saree Contours"
"69","Bougainvillea Pink","Saree Contours","BOUGM01","1190.00","25.00","297.50","rate","175.0","True","Bougainvillea",,,,"Plumpy","Micro",,,"Saree Contours"
"70","Candy","Saree Contours","PL03","1190.00","25.00","297.50","rate","","True","Candy",,,,"Chunky","Maxi",,,"Saree Contours"
"71","Candy","Saree Contours","PL02","1190.00","25.00","297.50","rate","","True","Candy",,,,"Chunky","Mini",,,"Saree Contours"
