id,title,description,availability,condition,link,image_link,brand,color,material,size,google_product_category,sale price,price
ALAIWINEX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=1,https://paavay.aalam.cloud/aalam/stock/item/1/image/_/face-img,Paavay,Grape,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIWINES,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=2,https://paavay.aalam.cloud/aalam/stock/item/2/image/_/face-img,Paavay,Grape,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIWINEM,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=3,https://paavay.aalam.cloud/aalam/stock/item/3/image/_/face-img,Paavay,Grape,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIWINEL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=4,https://paavay.aalam.cloud/aalam/stock/item/4/image/_/face-img,Paavay,Grape,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIREDXL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=5,https://paavay.aalam.cloud/aalam/stock/item/5/image/_/face-img,Paavay,Red,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIWINEXL,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=6,https://paavay.aalam.cloud/aalam/stock/item/6/image/_/face-img,Paavay,Grape,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIREDX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=7,https://paavay.aalam.cloud/aalam/stock/item/7/image/_/face-img,Paavay,Red,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIREDS,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=8,https://paavay.aalam.cloud/aalam/stock/item/8/image/_/face-img,Paavay,Red,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIREDL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=9,https://paavay.aalam.cloud/aalam/stock/item/9/image/_/face-img,Paavay,Red,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIREDM,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=10,https://paavay.aalam.cloud/aalam/stock/item/10/image/_/face-img,Paavay,Red,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINEX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=12,https://paavay.aalam.cloud/aalam/stock/item/12/image/_/face-img,Paavay,Pine,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINEXL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=13,https://paavay.aalam.cloud/aalam/stock/item/13/image/_/face-img,Paavay,Pine,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINEM,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=14,https://paavay.aalam.cloud/aalam/stock/item/14/image/_/face-img,Paavay,Pine,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINES,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=15,https://paavay.aalam.cloud/aalam/stock/item/15/image/_/face-img,Paavay,Pine,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINEL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=16,https://paavay.aalam.cloud/aalam/stock/item/16/image/_/face-img,Paavay,Pine,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINATGOLDXL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=17,https://paavay.aalam.cloud/aalam/stock/item/17/image/_/face-img,Paavay,Antique Gold,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINATGOLDX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=18,https://paavay.aalam.cloud/aalam/stock/item/18/image/_/face-img,Paavay,Antique Gold,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINATGOLDS,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=19,https://paavay.aalam.cloud/aalam/stock/item/19/image/_/face-img,Paavay,Antique Gold,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINATGOLDM,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=20,https://paavay.aalam.cloud/aalam/stock/item/20/image/_/face-img,Paavay,Antique Gold,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIPINATGOLDL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=21,https://paavay.aalam.cloud/aalam/stock/item/21/image/_/face-img,Paavay,Antique Gold,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIDENIMXL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=22,https://paavay.aalam.cloud/aalam/stock/item/22/image/_/face-img,Paavay,Denim,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIDENIMX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=23,https://paavay.aalam.cloud/aalam/stock/item/23/image/_/face-img,Paavay,Denim,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIDENIMS,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=24,https://paavay.aalam.cloud/aalam/stock/item/24/image/_/face-img,Paavay,Denim,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIDENIMM,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=25,https://paavay.aalam.cloud/aalam/stock/item/25/image/_/face-img,Paavay,Denim,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIDENIML,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=26,https://paavay.aalam.cloud/aalam/stock/item/26/image/_/face-img,Paavay,Denim,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIBOUGXL,Alai,Alai,out of stock,new,https://paavay.aalam.cloud/store/item/Alai?id=27,https://paavay.aalam.cloud/aalam/stock/item/27/image/_/face-img,Paavay,Bougainvillea,,XL,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIBOUGX,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=28,https://paavay.aalam.cloud/aalam/stock/item/28/image/_/face-img,Paavay,Bougainvillea,,XS,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIBOUGL,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=29,https://paavay.aalam.cloud/aalam/stock/item/29/image/_/face-img,Paavay,Bougainvillea,,L,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIBOUGS,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=30,https://paavay.aalam.cloud/aalam/stock/item/30/image/_/face-img,Paavay,Bougainvillea,,S,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ALAIBOUGM,Alai,Alai,in stock,new,https://paavay.aalam.cloud/store/item/Alai?id=31,https://paavay.aalam.cloud/aalam/stock/item/31/image/_/face-img,Paavay,Bougainvillea,,M,Apparel & Accessories > Clothing > Shirts & Tops,517.5 INR,690.0 INR
ATGOLDX02,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=35,https://paavay.aalam.cloud/aalam/stock/item/35/image/_/face-img,Paavay,Antique Gold,,Skinny,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDX03,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=37,https://paavay.aalam.cloud/aalam/stock/item/37/image/_/face-img,Paavay,Antique Gold,,Skinny,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDX01,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=38,https://paavay.aalam.cloud/aalam/stock/item/38/image/_/face-img,Paavay,Antique Gold,,Skinny,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDS03,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=39,https://paavay.aalam.cloud/aalam/stock/item/39/image/_/face-img,Paavay,Antique Gold,,Skubby,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDS02,Antique Gold,Antique Gold,out of stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=40,https://paavay.aalam.cloud/aalam/stock/item/40/image/_/face-img,Paavay,Antique Gold,,Skubby,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDS01,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=41,https://paavay.aalam.cloud/aalam/stock/item/41/image/_/face-img,Paavay,Antique Gold,,Skubby,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDM03,Antique Gold,Antique Gold,out of stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=42,https://paavay.aalam.cloud/aalam/stock/item/42/image/_/face-img,Paavay,Antique Gold,,Plumpy,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDM02,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=43,https://paavay.aalam.cloud/aalam/stock/item/43/image/_/face-img,Paavay,Antique Gold,,Plumpy,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDM01,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=44,https://paavay.aalam.cloud/aalam/stock/item/44/image/_/face-img,Paavay,Antique Gold,,Plumpy,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDL03,Antique Gold,Antique Gold,out of stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=45,https://paavay.aalam.cloud/aalam/stock/item/45/image/_/face-img,Paavay,Antique Gold,,Chunky,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDL02,Antique Gold,Antique Gold,out of stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=46,https://paavay.aalam.cloud/aalam/stock/item/46/image/_/face-img,Paavay,Antique Gold,,Chunky,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
ATGOLDL01,Antique Gold,Antique Gold,in stock,new,https://paavay.aalam.cloud/store/item/Antique+Gold?id=47,https://paavay.aalam.cloud/aalam/stock/item/47/image/_/face-img,Paavay,Antique Gold,,Chunky,Apparel & Accessories > Clothing > Underwear & Socks > Shapewear,892.62 INR,1190.0 INR
