id,title,description,availability,condition,link,image_link,brand,color,material,pattern,size,google_product_category,fb_product_category,gender,age_group,sale price,price
A1-0DR-001-XS,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,in stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=35,https://www.prathiksham.in/aalam/stock/item/35/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,XS,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-001-S,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,out of stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=36,https://www.prathiksham.in/aalam/stock/item/36/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,S,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-001-M,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,in stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=37,https://www.prathiksham.in/aalam/stock/item/37/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,M,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-001-L,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,in stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=38,https://www.prathiksham.in/aalam/stock/item/38/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,L,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-001-XL,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,out of stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=39,https://www.prathiksham.in/aalam/stock/item/39/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,XL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-001-XXL,Brown Kanchi Cotton Dress,Brown Kanchi Cotton Dress,in stock,new,https://www.prathiksham.in/store/item/Brown+Kanchi+Cotton+Dress?id=40,https://www.prathiksham.in/aalam/stock/item/40/image/_/face-img,Prathiksham,Maroon,Cotton,Solid,XXL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1699.0 INR
A1-0DR-002-XS,Teal Handloom Dress,Teal Handloom Dress,in stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=41,https://www.prathiksham.in/aalam/stock/item/41/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,XS,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0DR-002-S,Teal Handloom Dress,Teal Handloom Dress,out of stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=42,https://www.prathiksham.in/aalam/stock/item/42/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,S,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0DR-002-M,Teal Handloom Dress,Teal Handloom Dress,in stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=43,https://www.prathiksham.in/aalam/stock/item/43/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,M,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0DR-002-L,Teal Handloom Dress,Teal Handloom Dress,in stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=44,https://www.prathiksham.in/aalam/stock/item/44/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,L,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0DR-002-XL,Teal Handloom Dress,Teal Handloom Dress,out of stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=45,https://www.prathiksham.in/aalam/stock/item/45/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,XL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0DR-002-XXL,Teal Handloom Dress,Teal Handloom Dress,out of stock,new,https://www.prathiksham.in/store/item/Teal+Handloom+Dress?id=46,https://www.prathiksham.in/aalam/stock/item/46/image/_/face-img,Prathiksham,Teal,Handloom Cotton,Solid,XXL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1600.0 INR
A1-0CD-001-XS,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=47,https://www.prathiksham.in/aalam/stock/item/47/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,XS,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0CD-001-S,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=48,https://www.prathiksham.in/aalam/stock/item/48/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,S,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0CD-001-M,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=49,https://www.prathiksham.in/aalam/stock/item/49/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,M,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0CD-001-L,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=50,https://www.prathiksham.in/aalam/stock/item/50/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,L,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0CD-001-XL,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=51,https://www.prathiksham.in/aalam/stock/item/51/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,XL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0CD-001-XXL,Orange Ikkat Co-ord Set,Orange Ikkat Co-ord Set,out of stock,new,https://www.prathiksham.in/store/item/Orange+Ikkat+Co-ord+Set?id=52,https://www.prathiksham.in/aalam/stock/item/52/image/_/face-img,Prathiksham,Orange,Cotton,Ikkat,XXL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,1400.0 INR
A1-0KP-001-XS,Doriya Kurta Set,Doriya Kurta Set,in stock,new,https://www.prathiksham.in/store/item/Doriya+Kurta+Set?id=53,https://www.prathiksham.in/aalam/stock/item/53/image/_/face-img,Prathiksham,Yellow,"Kota Doria,Cotton",Block Print,XS,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,4200.0 INR
A1-0KP-001-S,Doriya Kurta Set,Doriya Kurta Set,out of stock,new,https://www.prathiksham.in/store/item/Doriya+Kurta+Set?id=54,https://www.prathiksham.in/aalam/stock/item/54/image/_/face-img,Prathiksham,Yellow,"Cotton,Kota Doria",Block Print,S,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,4200.0 INR
A1-0KP-001-M,Doriya Kurta Set,Doriya Kurta Set,out of stock,new,https://www.prathiksham.in/store/item/Doriya+Kurta+Set?id=55,https://www.prathiksham.in/aalam/stock/item/55/image/_/face-img,Prathiksham,Yellow,"Cotton,Kota Doria",Block Print,M,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,4200.0 INR
A1-0KP-001-L,Doriya Kurta Set,Doriya Kurta Set,in stock,new,https://www.prathiksham.in/store/item/Doriya+Kurta+Set?id=56,https://www.prathiksham.in/aalam/stock/item/56/image/_/face-img,Prathiksham,Yellow,"Cotton,Kota Doria",Block Print,L,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,4200.0 INR
A1-0KP-001-XL,Doriya Kurta Set,Doriya Kurta Set,in stock,new,https://www.prathiksham.in/store/item/Doriya+Kurta+Set?id=57,https://www.prathiksham.in/aalam/stock/item/57/image/_/face-img,Prathiksham,Yellow,"Cotton,Kota Doria",Block Print,XL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,4200.0 INR
A1-00K-001-XS,Yellow Hand Block Print Kurta,Yellow Hand Block Print Kurta,in stock,new,https://www.prathiksham.in/store/item/Yellow+Hand+Block+Print+Kurta?id=58,https://www.prathiksham.in/aalam/stock/item/58/image/_/face-img,Prathiksham,Yellow,Cotton,Block Print,XS,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,2800.0 INR
A1-00K-001-S,Yellow Hand Block Print Kurta,Yellow Hand Block Print Kurta,in stock,new,https://www.prathiksham.in/store/item/Yellow+Hand+Block+Print+Kurta?id=59,https://www.prathiksham.in/aalam/stock/item/59/image/_/face-img,Prathiksham,Yellow,Cotton,Block Print,S,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,2800.0 INR
A1-00K-001-M,Yellow Hand Block Print Kurta,Yellow Hand Block Print Kurta,in stock,new,https://www.prathiksham.in/store/item/Yellow+Hand+Block+Print+Kurta?id=60,https://www.prathiksham.in/aalam/stock/item/60/image/_/face-img,Prathiksham,Yellow,Cotton,Block Print,M,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,2800.0 INR
A1-00K-001-L,Yellow Hand Block Print Kurta,Yellow Hand Block Print Kurta,in stock,new,https://www.prathiksham.in/store/item/Yellow+Hand+Block+Print+Kurta?id=61,https://www.prathiksham.in/aalam/stock/item/61/image/_/face-img,Prathiksham,Yellow,Cotton,Block Print,L,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,2800.0 INR
A1-00K-001-XL,Yellow Hand Block Print Kurta,Yellow Hand Block Print Kurta,in stock,new,https://www.prathiksham.in/store/item/Yellow+Hand+Block+Print+Kurta?id=62,https://www.prathiksham.in/aalam/stock/item/62/image/_/face-img,Prathiksham,Yellow,Cotton,Block Print,XL,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,Female,adult,,2800.0 INR
