id,title,description,availability,condition,link,image_link,brand,color,material,pattern,size,google_product_category,gender,age_group,price
B1-00K-001-01,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=1,https://www.zingclothing.in/aalam/stock/item/1/image/_/face-img,Zing,Red,Cotton,Floral,XS,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-001-02,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=2,https://www.zingclothing.in/aalam/stock/item/2/image/_/face-img,Zing,Red,Cotton,Floral,S,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-001-03,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=3,https://www.zingclothing.in/aalam/stock/item/3/image/_/face-img,Zing,Red,Cotton,Floral,M,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-001-04,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=4,https://www.zingclothing.in/aalam/stock/item/4/image/_/face-img,Zing,Red,Cotton,Floral,L,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-001-05,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=5,https://www.zingclothing.in/aalam/stock/item/5/image/_/face-img,Zing,Red,Cotton,Floral,XL,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-001-06,Red Floral Kurta-Cotton,Red Floral Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Red+Floral+Kurta?id=6,https://www.zingclothing.in/aalam/stock/item/6/image/_/face-img,Zing,Red,Cotton,Floral,2XL,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,870.00 INR
B1-00K-002-01,Green Pink Floral Sleeveless Kurta-Cotton,Green Pink Floral Sleeveless Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Green+Pink+Floral+Sleeveless+Kurta?id=7,https://www.zingclothing.in/aalam/stock/item/7/image/_/face-img,Zing,Green,Cotton,Floral,XS,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,685.00 INR
B1-00K-002-02,Green Pink Floral Sleeveless Kurta-Cotton,Green Pink Floral Sleeveless Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Green+Pink+Floral+Sleeveless+Kurta?id=8,https://www.zingclothing.in/aalam/stock/item/8/image/_/face-img,Zing,Green,Cotton,Floral,S,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,685.00 INR
B1-00K-002-03,Green Pink Floral Sleeveless Kurta-Cotton,Green Pink Floral Sleeveless Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Green+Pink+Floral+Sleeveless+Kurta?id=9,https://www.zingclothing.in/aalam/stock/item/9/image/_/face-img,Zing,Green,Cotton,Floral,M,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,685.00 INR
B1-00K-002-04,Green Pink Floral Sleeveless Kurta-Cotton,Green Pink Floral Sleeveless Kurta-Cotton,out of stock,new,https://www.zingclothing.in/store/item/Green+Pink+Floral+Sleeveless+Kurta?id=10,https://www.zingclothing.in/aalam/stock/item/10/image/_/face-img,Zing,Green,Cotton,Floral,L,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Female,adult,685.00 INR
